,Children,Age,Income,Marital,Gender,Churn,Tenure,MonthlyCharge
55,1,58,62359.91,Separated,Female,No,13.98666226,129.962093
56,1,73,82634.86,Married,Male,Yes,9.563362997,114.950905
57,1,33,15690.25,Widowed,Female,No,6.732948946,142.515576
58,1,58,14568.7,Separated,Male,Yes,15.72071086,220.14775
59,0,49,29207.46,Never Married,Female,No,7.233605493,124.97808
60,1,26,55319.23,Never Married,Female,No,2.871017037,164.964681
61,1,25,81831.49,Widowed,Male,No,2.344875382,194.976769
62,0,42,100076.65,Separated,Female,Yes,7.960490246,152.455519
63,1,81,69965.65,Widowed,Male,No,12.25062113,92.5018
64,1,43,34883.69,Divorced,Female,No,9.634946079,127.488728
65,2,63,45634.2,Never Married,Male,No,7.916533093,184.963371
66,3,70,10964.73,Married,Female,Yes,4.471254161,265.146969
67,1,78,22365.28,Widowed,Male,Yes,10.79028074,207.609354
68,0,48,52636.6,Separated,Male,No,12.24190682,152.462354
69,1,63,19048.13,Separated,Female,Yes,2.203859443,200.132293
70,4,60,42784.82,Married,Female,Yes,23.92132231,212.655686
71,0,87,77996.88,Divorced,Male,Yes,3.7311787,255.119794
72,3,54,47507.3,Married,Female,No,7.980015371,134.950905
73,3,35,7724.73,Divorced,Male,Yes,9.190009376,255.137219
74,1,70,1509.52,Never Married,Male,Yes,2.378630018,214.966286
75,2,67,81124.71,Married,Female,Yes,5.43464555,270.160419
76,4,46,11795.57,Widowed,Female,Yes,1.092361222,200.165175
77,1,50,74794.84,Never Married,Male,No,20.13981517,149.937833
78,1,24,19038.78,Never Married,Female,Yes,24.64873861,240.114868
79,0,20,79167.77,Divorced,Male,No,9.677739656,127.495766
80,1,29,37428.26,Married,Female,Yes,9.82814183,187.609354
81,0,31,45148.38,Divorced,Male,No,7.832238337,169.992756
82,5,72,74855.47,Separated,Female,No,19.45250317,192.456745
83,4,71,45323.86,Divorced,Male,No,14.34766616,120.004928
84,2,32,71596.14,Divorced,Female,No,2.257358355,195.006206
85,0,33,10389.95,Never Married,Male,No,2.358129018,139.95684
86,3,67,19657.14,Widowed,Male,No,4.650578623,114.983787
87,0,66,27827.03,Divorced,Female,Yes,3.721772616,207.638588
88,4,21,15609.05,Separated,Female,Yes,3.76663012,187.609354
89,0,61,19815.63,Never Married,Female,No,4.151256695,134.950905
90,0,75,58482.9,Separated,Female,Yes,2.188918771,192.470522
91,0,63,41656.53,Widowed,Female,Yes,13.85488928,222.628057
92,0,68,115510.46,Separated,Female,No,3.273341151,162.468917
93,2,32,15841.19,Never Married,Male,Yes,19.75096265,159.979358
94,0,76,81127.41,Never Married,Male,No,18.38404445,184.979684
95,0,29,24270.88,Divorced,Female,Yes,4.672610857,245.145743
96,0,83,54466.33,Married,Female,No,6.796299371,124.97808
97,10,23,64816.84,Divorced,Male,Yes,12.97632235,187.484705
98,5,80,103311.26,Never Married,Male,No,20.31163945,162.500692
99,0,20,40211.04,Never Married,Male,No,6.998814446,182.467607
100,0,69,58077.38,Separated,Male,Yes,14.46288204,222.660939
101,1,32,43466.35,Never Married,Male,No,11.13472066,182.467607
102,0,53,23289.77,Divorced,Female,Yes,2.542296644,220.161527
103,2,25,49158.49,Separated,Male,No,17.22596021,169.937833
104,0,69,3805.84,Divorced,Male,Yes,22.79214163,204.963371
105,3,71,52616.27,Widowed,Male,Yes,3.823689744,204.963371
106,3,53,30550.42,Widowed,Female,Yes,10.77094687,245.128318
107,2,56,12154.01,Divorced,Nonbinary,Yes,13.08671185,172.473314
108,0,42,30649.31,Married,Male,Yes,14.76468813,172.456745
109,3,33,31417.33,Married,Male,Yes,9.473091121,194.976769
110,1,47,55861.19,Divorced,Male,No,5.197446331,137.439154
111,1,48,9044.26,Widowed,Female,Yes,6.577552683,192.470522
112,0,63,25381.66,Never Married,Female,Yes,3.174571918,159.951231
113,1,40,65064.31,Widowed,Male,No,17.88002366,112.455141
114,0,67,12527.51,Divorced,Male,Yes,13.12190056,174.961766
115,0,56,35499.06,Divorced,Female,No,23.34617699,162.452604
116,6,24,26282.4,Married,Female,No,6.311709178,137.483594
117,2,79,51237.28,Divorced,Female,No,12.58298231,275.133571
118,3,61,64222.21,Married,Male,Yes,7.120096363,127.442069
119,0,38,11014.98,Divorced,Male,Yes,9.344886869,210.138
120,4,28,21172.49,Divorced,Female,No,22.37815032,147.456419
121,3,44,26130.78,Divorced,Male,Yes,4.799514433,242.657291
122,1,65,36478.21,Widowed,Male,No,10.04672315,114.983787
123,3,35,54533.63,Divorced,Female,No,8.156552837,187.656013
124,2,31,37103.18,Separated,Female,No,7.992791229,149.991327
125,2,34,74679.84,Widowed,Male,No,7.231032028,124.960655
126,2,68,95028.57,Separated,Male,Yes,4.627672042,220.161527
127,0,62,34281.1,Never Married,Male,No,10.05306287,172.48852
128,0,52,36240.81,Separated,Male,No,4.171044392,120.004928
129,5,32,9515.64,Divorced,Male,Yes,4.568682641,220.161527
130,0,47,125814.88,Divorced,Female,Yes,6.085030507,139.965008
131,8,66,12995.68,Divorced,Female,No,2.730250735,159.951231
132,1,70,77531.43,Divorced,Female,Yes,8.574901206,184.949594
133,3,41,87354.99,Divorced,Male,Yes,9.743201772,252.637807
134,2,59,76567.85,Separated,Male,No,9.482919033,112.455141
135,1,46,30663.52,Married,Male,No,8.447988841,179.979358
136,3,70,122957.19,Married,Male,No,6.365998533,202.443347
137,1,89,31600.92,Widowed,Male,No,7.251397592,197.472533
138,4,75,74638.78,Never Married,Female,Yes,14.64011644,255.155493
139,0,26,32652.3,Married,Female,Yes,11.71637124,174.976769
140,4,25,63650.54,Divorced,Female,No,4.13273503,169.992756
141,1,84,28622.6,Widowed,Female,Yes,2.887429547,192.440432
142,3,69,50252.79,Never Married,Male,No,3.303030246,182.460772
143,3,31,19800.81,Divorced,Male,No,5.15825129,139.965008
144,10,76,35954.77,Married,Male,Yes,3.237560234,137.461553
145,8,75,36342.31,Divorced,Male,Yes,2.733109234,217.472533
146,1,74,48715.53,Divorced,Nonbinary,Yes,3.180102025,210.138
147,1,49,23204.98,Divorced,Male,No,15.85983755,104.964303
148,1,47,35302.52,Separated,Male,Yes,11.73724209,262.610632
149,4,20,54895.16,Married,Female,Yes,7.006240694,152.488401
150,2,26,60398.06,Never Married,Female,Yes,5.562130367,174.974431
151,2,72,8115.88,Never Married,Female,No,14.53027663,220.118516
152,1,41,33858.66,Divorced,Male,No,5.905906389,162.452604
153,3,26,29950.47,Married,Female,Yes,3.260462654,184.961033
154,4,55,49421.69,Separated,Male,No,18.91276578,217.483972
155,1,46,11061.05,Married,Female,No,14.25617986,220.118516
156,0,87,15388.32,Separated,Female,Yes,7.983887266,187.642236
157,1,39,20624.31,Divorced,Male,No,5.969967132,174.961766
158,0,81,47877.81,Married,Male,Yes,19.95277818,252.637807
159,0,83,46154.17,Never Married,Male,No,14.85781115,130.024412
160,0,50,107111.8,Widowed,Female,Yes,2.600063739,162.482694
161,3,87,10403.59,Married,Female,Yes,11.92299244,182.467607
162,3,76,22412.6,Married,Female,No,5.972864167,139.934918
163,6,25,19476.27,Widowed,Female,Yes,10.87555535,200.165175
164,3,34,96382.76,Married,Male,Yes,16.00330155,202.682861
165,1,46,28022.56,Divorced,Female,No,12.63074989,159.951231
166,1,73,35478.4,Married,Female,No,8.4944392,149.948316
167,8,57,10155.51,Divorced,Female,Yes,8.044444101,149.959755
168,3,58,87537.25,Divorced,Male,No,12.07358377,137.469817
169,4,70,34112.1,Never Married,Male,Yes,10.21634248,187.656013
170,0,53,32653.51,Married,Male,Yes,15.50354683,164.985293
171,0,31,35321.46,Married,Male,Yes,13.88004531,159.965008
172,0,38,49277.48,Widowed,Female,No,19.48900163,172.462354
173,0,26,37297.82,Widowed,Female,Yes,10.01771765,204.949594
174,2,44,14928.96,Widowed,Male,No,7.34059599,147.473844
175,3,66,24702.68,Divorced,Female,Yes,12.64742067,162.471255
176,1,58,87535.71,Divorced,Male,No,8.850426839,119.95684
177,6,51,63166.87,Divorced,Female,Yes,3.701557118,207.609354
178,4,34,11856.81,Separated,Female,No,2.976033785,194.999168
179,0,87,27326.79,Widowed,Nonbinary,No,5.522376826,174.975543
180,1,67,12779.23,Divorced,Female,Yes,15.64596698,240.114868
181,4,59,25519.91,Never Married,Nonbinary,Yes,23.00764441,240.114868
182,7,23,46871.21,Divorced,Male,No,17.24924155,139.983006
183,0,42,77383.72,Widowed,Male,Yes,13.01107597,240.114868
184,1,24,47395.3,Divorced,Female,Yes,5.104082209,209.993134
185,2,81,90977.74,Widowed,Female,No,3.521499924,147.456419
186,8,78,135727.71,Separated,Male,No,8.08137067,107.495766
187,1,51,47726.25,Separated,Female,Yes,1.875430489,152.502178
188,1,70,51721.64,Never Married,Female,No,5.587484456,79.978861
189,0,87,41531.03,Married,Female,No,7.007695148,142.482694
190,0,46,33504.8,Divorced,Female,No,1.408375942,117.439154
191,8,56,34197.3,Widowed,Female,Yes,11.64983735,220.132293
192,4,44,11518.58,Married,Male,Yes,2.964559883,152.455519
193,0,33,31065.17,Never Married,Female,No,10.25635754,174.961766
194,0,19,32097.17,Widowed,Female,Yes,3.892407013,202.443347
195,1,31,23424.88,Never Married,Male,Yes,3.226996711,210.12704
196,1,34,35988.24,Separated,Female,No,15.87685513,139.979239
197,4,43,35539.7,Never Married,Male,No,5.874064017,139.965008
198,1,82,27959.34,Separated,Male,No,3.756359276,137.439154
199,6,36,52232.97,Widowed,Female,No,2.905283283,102.474625
200,1,48,18198.59,Never Married,Male,Yes,1.474810061,252.637807
201,0,52,16851.94,Widowed,Male,Yes,18.56165869,194.999168
202,1,35,16440.05,Never Married,Nonbinary,Yes,12.39088509,242.610632
203,3,83,44223.58,Widowed,Female,No,14.17192333,127.458638
204,0,20,33343.73,Widowed,Male,No,3.86023041,129.976324
205,0,25,30664.56,Separated,Female,Yes,17.72593456,240.114868
206,0,88,31934.04,Divorced,Male,No,3.043063167,174.975543
207,1,54,26676.4,Widowed,Female,No,5.827112819,169.944668
208,1,46,67211.95,Never Married,Male,Yes,4.648958177,162.511928
209,2,75,31136.77,Widowed,Female,No,11.96274778,119.95684
210,5,66,40660.84,Widowed,Male,No,4.525864256,137.439154
211,0,51,10606.59,Divorced,Female,No,8.038308899,207.46728
212,3,81,92447.71,Divorced,Female,No,1.416592892,149.974105
213,0,75,13612.16,Never Married,Male,No,19.83504645,225.178625
214,3,54,13765.39,Widowed,Female,Yes,15.85002222,232.637807
215,2,73,53019.98,Never Married,Male,No,15.94935291,117.472036
216,0,53,42523.02,Separated,Male,No,11.94550648,137.469817
217,8,33,52143.7,Never Married,Female,No,16.03360405,220.132293
218,5,41,19097.94,Widowed,Female,No,21.29342532,124.960655
219,1,59,11301.4,Divorced,Female,No,4.95598008,199.990219
220,3,23,17814.0,Separated,Female,Yes,2.73951266,159.947583
221,1,32,22533.05,Widowed,Female,Yes,4.973046104,245.145743
222,3,51,19974.4,Never Married,Female,Yes,10.28430068,255.155493
223,1,46,45146.99,Never Married,Female,No,2.581692044,134.950905
224,3,37,10330.1,Married,Male,Yes,6.945736396,159.947583
225,0,53,15281.28,Never Married,Male,No,9.999416271,139.987503
226,1,62,11217.96,Divorced,Male,Yes,6.035737465,179.947583
227,1,57,17516.0,Separated,Female,No,9.004964377,127.473844
228,2,80,20566.64,Married,Female,Yes,5.071456681,232.637807
229,1,43,36128.68,Married,Male,Yes,12.02106494,195.006206
230,1,35,52129.84,Divorced,Male,Yes,5.049303717,267.642733
231,1,63,25985.06,Never Married,Female,No,18.17247008,149.959755
232,1,63,10909.79,Widowed,Female,Yes,15.31997698,220.114868
233,1,27,41151.14,Divorced,Female,No,16.0708543,157.483594
234,4,19,64063.23,Married,Female,No,7.873371451,127.474951
235,1,40,20414.07,Never Married,Female,No,23.62866494,139.981577
236,0,42,41412.1,Widowed,Male,Yes,25.8634566,255.133571
237,0,40,99195.08,Married,Female,Yes,9.405224809,194.966286
238,0,72,18408.94,Married,Female,No,12.84490034,179.965581
239,3,61,15930.45,Separated,Male,Yes,16.59325254,174.976769
240,0,71,25611.29,Divorced,Male,No,20.35456039,187.609354
241,4,68,9428.86,Divorced,Female,No,12.00925702,169.937833
242,1,88,3810.16,Never Married,Female,No,2.861423443,115.002061
243,1,64,118022.06,Widowed,Male,Yes,14.20349453,152.462354
244,1,63,51992.79,Married,Female,Yes,4.98152586,207.609354
245,0,53,79993.43,Divorced,Female,No,23.12150846,147.503078
246,0,41,37706.85,Widowed,Male,No,6.307178205,200.118516
247,2,63,22466.53,Married,Male,No,12.73622643,137.497825
248,4,56,16608.27,Married,Female,No,12.00466914,134.980139
249,2,27,25146.14,Divorced,Male,No,2.243757398,147.442069
250,2,47,58882.35,Divorced,Male,No,1.583394702,197.494455
251,4,42,31809.46,Never Married,Female,No,14.23487852,162.529926
252,0,72,27235.54,Widowed,Female,Yes,15.28108311,210.151777
253,3,58,70476.82,Married,Male,Yes,4.135827839,159.965581
254,0,33,49396.09,Widowed,Male,Yes,9.740709475,190.173699
255,6,87,35060.94,Never Married,Female,Yes,1.213704886,202.649979
256,0,34,66055.53,Divorced,Female,No,11.86252419,134.950905
257,7,76,91335.76,Widowed,Male,No,2.416685985,142.500692
258,3,38,54349.75,Widowed,Nonbinary,No,6.73327535,114.997564
259,0,47,75042.1,Separated,Female,Yes,6.549035393,232.62403
260,7,84,91001.1,Widowed,Male,Yes,10.57197066,242.628057
261,4,19,44426.28,Widowed,Male,Yes,3.379756569,202.443347
262,0,87,63284.16,Divorced,Female,No,8.959047529,124.993537
263,3,75,14039.21,Widowed,Male,No,10.23679934,174.976769
264,0,37,12453.24,Divorced,Male,Yes,14.96503088,225.145743
265,1,52,15934.12,Never Married,Female,Yes,23.79323993,275.133571
266,0,24,48314.4,Separated,Male,Yes,11.45675389,287.642733
267,4,83,5511.77,Married,Male,Yes,11.04076215,177.65076
268,3,19,10701.11,Never Married,Female,Yes,7.425503428,220.114868
269,1,78,10767.15,Divorced,Male,Yes,2.411712843,197.516854
270,4,61,13493.63,Separated,Female,No,2.009542213,194.974431
271,0,38,25071.58,Separated,Male,Yes,9.068119482,175.133074
272,0,79,368.5,Never Married,Male,Yes,1.926789854,147.478341
273,0,49,27976.63,Divorced,Female,No,11.77389421,134.980139
274,0,41,56154.5,Married,Female,No,2.585228303,157.483594
275,0,75,62145.59,Widowed,Female,No,9.517703088,255.141716
276,1,60,6517.94,Married,Female,No,9.532523799,137.439154
277,1,70,19090.03,Never Married,Male,No,23.103996,235.159141
278,0,23,13194.33,Divorced,Male,Yes,5.104873611,147.460067
279,2,84,63963.36,Married,Female,Yes,6.877942744,232.637807
280,1,63,34447.89,Married,Male,Yes,21.17839683,137.439154
281,2,88,36315.29,Separated,Female,No,1.586331702,129.948316
282,0,44,5009.07,Divorced,Female,Yes,3.778174405,242.632554
283,1,49,14202.72,Never Married,Female,Yes,11.58276897,187.609354
284,8,32,54779.76,Married,Male,Yes,11.62258922,232.652038
285,1,69,36453.31,Divorced,Nonbinary,No,20.78013031,159.980465
286,2,60,11250.71,Separated,Female,Yes,3.940297464,159.947583
287,0,57,65951.35,Separated,Female,No,11.38099891,137.487242
288,8,62,15292.25,Separated,Female,Yes,1.473304337,245.131966
289,0,26,41879.1,Divorced,Male,No,12.75609778,117.439154
290,0,85,17080.57,Divorced,Female,Yes,6.253919786,209.993134
291,2,82,68122.23,Separated,Female,No,18.9537053,169.974105
292,2,40,39468.79,Widowed,Female,No,9.640061615,197.470195
293,0,50,123763.12,Divorced,Male,Yes,5.201330266,137.516476
294,1,71,84301.44,Separated,Male,Yes,12.42120946,207.475448
295,2,48,42469.81,Never Married,Nonbinary,No,8.134438503,160.00128
296,0,24,75458.79,Separated,Female,No,14.86764776,147.478341
297,3,79,60345.9,Never Married,Male,No,5.548652108,127.488728
298,4,82,76066.77,Separated,Male,No,18.35541838,139.981577
299,2,68,42755.27,Divorced,Female,Yes,7.62779591,220.132293
300,5,77,76874.25,Widowed,Nonbinary,No,4.439685675,214.952509
301,1,19,41075.64,Widowed,Female,No,11.16903388,139.99789
302,1,80,63095.62,Widowed,Male,Yes,14.14101821,270.160419
303,4,31,82131.87,Separated,Female,Yes,3.212400569,202.443347
304,2,62,28502.33,Divorced,Male,No,16.84928353,172.47417
305,4,80,9450.84,Separated,Male,Yes,3.834727471,137.468388
306,1,36,44977.06,Married,Male,No,6.198230305,104.962874
307,0,72,13583.35,Widowed,Male,No,4.216732972,174.969934
308,0,50,42093.64,Married,Male,No,4.355064781,139.99789
309,3,31,55398.87,Widowed,Male,No,4.030250374,144.988941
310,0,22,22362.59,Never Married,Female,No,9.915959247,114.997564
311,0,50,40271.47,Married,Male,Yes,9.821728297,172.484753
312,0,28,56178.63,Divorced,Male,No,9.183905417,124.97808
313,0,63,21053.35,Never Married,Male,No,8.892893007,174.991856
314,1,73,75866.75,Separated,Female,No,7.661226872,92.488023
315,3,72,74061.48,Never Married,Male,No,12.4767812,139.965008
316,7,23,35102.93,Never Married,Male,Yes,2.462148717,192.470522
317,1,49,26391.1,Never Married,Male,Yes,14.09942339,220.118516
318,1,82,29982.49,Divorced,Female,Yes,7.272649386,232.622804
319,1,72,51154.34,Divorced,Female,No,3.999030359,210.156274
320,1,45,37583.97,Never Married,Female,No,3.115945151,114.972827
321,1,73,28654.87,Divorced,Female,No,13.67931764,149.977753
322,1,78,119968.61,Divorced,Female,Yes,14.6728104,184.985293
323,4,71,11591.09,Married,Male,No,5.953547112,132.479779
324,4,67,70174.11,Never Married,Female,Yes,11.74635394,190.12704
325,1,43,8495.04,Widowed,Male,No,5.954024226,92.488023
326,5,27,17191.02,Widowed,Female,Yes,22.8577804,220.114868
327,2,39,24732.09,Divorced,Male,Yes,1.407866545,107.495766
328,0,52,27282.21,Divorced,Female,No,21.08265979,169.967067
329,9,19,40902.49,Married,Female,Yes,11.10356439,222.679213
330,0,48,87568.16,Married,Female,Yes,9.734064703,200.132293
331,0,22,69327.78,Divorced,Male,Yes,12.21754865,262.610632
332,1,69,5194.22,Married,Male,Yes,2.423722078,152.495236
333,1,31,12951.51,Married,Male,No,13.66061487,202.636202
334,9,79,11179.42,Never Married,Female,No,8.701581043,127.478341
335,0,65,47288.09,Divorced,Male,No,4.844060027,159.983006
336,4,49,114398.35,Married,Male,Yes,6.485034974,124.960655
337,6,69,105646.73,Separated,Female,Yes,1.14113241,252.62403
338,3,74,42386.84,Widowed,Male,No,7.69213424,104.97808
339,3,27,38864.57,Widowed,Male,Yes,13.73012915,204.961033
340,4,79,25215.22,Separated,Female,Yes,5.690013293,245.145743
341,1,41,9302.3,Widowed,Female,No,6.68894661,95.019486
342,0,51,45225.74,Divorced,Female,No,9.475983046,169.937833
343,0,57,29976.15,Divorced,Male,Yes,4.893221514,207.475448
344,1,66,13155.79,Divorced,Female,No,2.656915117,114.983787
345,4,85,14980.5,Divorced,Female,Yes,8.381515693,232.637807
346,9,54,24017.57,Divorced,Female,No,14.53315436,225.131966
347,8,79,26204.77,Separated,Male,Yes,13.62832619,212.641455
348,3,56,27978.78,Never Married,Male,Yes,1.281566108,152.495236
349,1,80,46622.3,Separated,Male,Yes,3.365552603,134.950905
350,0,37,34419.26,Married,Female,Yes,5.397827503,200.132293
351,7,24,8507.97,Never Married,Female,No,9.001231999,197.470195
352,3,48,64420.19,Married,Male,No,10.9750814,192.456745
353,0,68,122263.81,Never Married,Female,Yes,7.825845378,162.471255
354,3,74,64446.9,Married,Male,Yes,14.12966281,222.660939
355,1,37,20647.83,Never Married,Female,No,14.66914461,114.950905
356,0,54,23956.91,Separated,Male,Yes,5.388165017,182.446995
357,1,84,56003.36,Separated,Male,No,2.810825808,95.005709
358,10,68,50150.81,Never Married,Male,Yes,2.485229169,172.456745
359,10,39,4180.22,Widowed,Female,No,2.051069457,177.65076
360,4,85,70023.28,Widowed,Male,No,6.10108047,207.638588
361,1,86,40728.96,Separated,Female,Yes,4.950398978,220.118516
362,1,70,69248.13,Separated,Female,No,10.16660427,137.468388
363,1,33,65187.42,Widowed,Female,Yes,12.29558653,159.965008
364,1,58,26005.77,Divorced,Female,No,24.8868126,182.465269
365,2,58,10423.75,Widowed,Male,No,9.660361769,129.977753
366,4,42,28909.96,Divorced,Male,Yes,7.663625954,112.484375
367,2,89,28219.28,Married,Male,No,5.25445262,127.488728
368,2,63,67319.27,Widowed,Male,No,13.59137366,162.471255
369,0,18,71348.1,Divorced,Male,Yes,12.3492819,154.961766
370,4,82,39231.99,Never Married,Male,No,18.37317391,194.976769
371,8,61,28129.21,Separated,Male,No,8.498042024,192.48852
372,7,36,69104.9,Married,Male,No,22.33583015,162.452604
373,1,87,31282.78,Never Married,Female,No,1.541545443,107.48056
374,0,48,65229.24,Separated,Male,Yes,12.78453216,142.482694
375,8,56,15110.46,Widowed,Male,Yes,2.527681829,165.018175
376,0,57,66922.3,Divorced,Male,No,7.065506244,125.007314
377,3,89,1666.59,Divorced,Male,Yes,4.258552081,139.987503
378,6,30,50258.38,Separated,Female,No,4.801969514,112.455141
379,4,54,54373.35,Divorced,Female,Yes,5.204853319,212.622804
380,5,55,33588.84,Widowed,Female,No,32.0730133,182.460772
381,1,46,23629.05,Married,Female,Yes,11.16847385,159.947583
382,0,18,91186.03,Separated,Female,No,16.8000196,245.145743
383,0,58,20204.74,Never Married,Female,No,17.6210362,149.977753
384,1,60,37703.83,Divorced,Male,Yes,17.18829795,184.967019
385,2,62,29117.32,Never Married,Female,No,17.52138221,92.455141
386,4,30,52531.72,Widowed,Female,No,10.4103675,149.944668
387,4,75,25742.72,Never Married,Male,Yes,3.310281145,167.456419
388,7,23,21072.82,Married,Female,Yes,2.993625911,197.516854
389,1,84,37774.81,Married,Female,Yes,16.26037537,152.488401
390,3,61,20811.42,Separated,Male,Yes,3.045064701,162.482694
391,0,75,34474.39,Separated,Male,Yes,15.35762157,262.610632
392,3,72,81388.6,Divorced,Male,Yes,5.940902789,190.173699
393,0,66,78272.96,Widowed,Male,Yes,5.988505209,187.513939
394,2,81,11655.88,Separated,Female,Yes,7.138784756,212.641455
395,4,34,37773.19,Widowed,Male,No,8.951793883,104.964303
396,1,82,40183.01,Never Married,Male,Yes,4.221959275,232.637807
397,1,73,37149.4,Married,Male,No,9.797427154,142.499263
398,0,28,10331.57,Divorced,Male,Yes,10.90397471,277.63748
399,1,48,37096.85,Married,Female,No,1.665591776,112.455141
400,2,53,26004.59,Married,Male,Yes,8.611218573,220.118516
401,4,52,77291.95,Divorced,Female,Yes,1.28507969,139.951231
402,3,20,24462.25,Widowed,Female,No,1.379696124,184.978458
403,0,19,75871.75,Divorced,Male,Yes,3.084376591,210.138
404,0,70,28840.47,Divorced,Nonbinary,No,2.43754565,142.468917
405,4,48,25299.48,Never Married,Female,No,3.288124191,160.00128
406,2,28,37631.4,Married,Male,No,32.30772134,127.481989
407,2,52,23014.69,Never Married,Male,No,13.46565415,162.452604
408,1,77,31300.68,Widowed,Female,No,19.244458,172.457857
409,3,71,55840.35,Widowed,Female,No,8.69085131,255.155493
410,4,22,9729.44,Widowed,Female,Yes,3.778575882,184.979684
411,1,88,35891.67,Widowed,Male,Yes,10.27819073,175.006206
412,0,25,20801.9,Never Married,Male,No,4.156887945,112.455141
413,2,21,112429.2,Separated,Male,No,11.32083915,194.958118
414,1,39,33217.64,Never Married,Female,No,5.254442453,172.44408
415,1,29,45562.97,Widowed,Male,No,5.2551003,200.165175
416,1,22,15380.9,Divorced,Female,No,6.417132666,127.460067
417,10,44,100232.53,Never Married,Female,No,18.61278731,147.478341
418,4,74,57900.98,Divorced,Male,No,4.924623699,207.49737
419,2,84,60476.86,Separated,Female,No,6.325942162,169.937833
420,1,65,26875.13,Never Married,Male,No,17.22220989,152.457857
421,2,29,24447.03,Separated,Female,No,3.238699239,162.460772
422,2,51,14817.22,Married,Female,Yes,6.437878909,200.132293
423,0,40,6170.55,Married,Female,Yes,15.22323989,182.460772
424,2,49,33620.38,Widowed,Female,No,7.484425045,124.97808
425,7,61,86453.08,Separated,Female,Yes,7.218752772,230.105118
426,3,61,31466.9,Divorced,Female,No,11.69875604,147.473844
427,1,85,76984.15,Widowed,Female,No,10.03363969,142.482694
